dataset	branch	set_id	set_name	deposited_N	expressed_N	background_N	testable	camera_direction	camera_P	camera_correlation	fixed01_P	fry_direction	fry_P	fry_mixed_P	mean_log2FC	mean_moderated_t	camera_FDR	fixed01_FDR	fry_FDR	fry_mixed_FDR
GSE65682	lt100_vs_normal_adjusted	R-HSA-5368287	Mitochondrial translation	137	90	11222	TRUE	Up	0.291731780586341	0.366732326584235	7.74012350487069e-06	Up	0.297330780437354	0.540755567824481	0.0955967845329783	0.652246400299482	0.317496327924742	1.54802470097414e-05	0.339806606214118	0.721007423765975
GSE65682	lt100_vs_normal_adjusted	R-HSA-611105	Respiratory electron transport	159	117	11222	TRUE	Up	0.0752625261600881	0.21032350101125	6.54000112883085e-10	Up	0.0819259500952522	0.326132540096535	0.107186764276517	0.829112623012949	0.150525052320176	2.61600045153234e-09	0.214899087610213	0.567630146677003
GSE65682	lt100_vs_normal_adjusted	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	96	11222	TRUE	Down	0.145698104971386	0.0272729911319888	0.0460074763665062	Down	0.254194356650016	0.334561952912858	-0.0519032168411913	-0.222231274951454	0.233116967954218	0.0525799729902928	0.338925808866687	0.567630146677003
GSE65682	lt100_vs_normal_adjusted	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	27	11222	TRUE	Down	0.0530846308455856	0.0381615946075745	0.0133358391634457	Down	0.107449543805107	0.899620316301828	-0.089815834019982	-0.461814450433637	0.141559015588228	0.0177811188845943	0.214899087610213	0.989613008347152
GSE65682	lt100_vs_normal_adjusted	R-HSA-76002	Platelet activation, signaling and aggregation	262	187	11222	TRUE	Down	0.0234143636628654	0.060208314960416	1.77595176908117e-06	Down	0.057218420973389	0.227104899109233	-0.093088939551068	-0.505404627595884	0.141559015588228	4.73587138421644e-06	0.214899087610213	0.567630146677003
GSE65682	lt100_vs_normal_adjusted	R-HSA-114608	Platelet degranulation	128	91	11222	TRUE	Down	0.0359262214883481	0.0580980911310761	0.000109214695938409	Down	0.0751991063824176	0.139945540174411	-0.097240977054577	-0.482425534266763	0.141559015588228	0.000174743513501454	0.214899087610213	0.567630146677003
GSE65682	lt100_vs_normal_adjusted	R-HSA-72613	Eukaryotic Translation Initiation	124	112	11222	TRUE	Up	0.202271388033645	0.494525630683917	3.95166081398204e-11	Up	0.215541054774122	0.354768841673127	0.127664131109015	0.891526955741576	0.26969518404486	3.16132865118563e-10	0.338925808866687	0.567630146677003
GSE65682	lt100_vs_normal_adjusted	R-HSA-189451	Heme biosynthesis	14	12	11222	TRUE	Down	0.317496327924742	0.171605106515786	0.104418703870872	Down	0.40528586227078	0.989613008347152	-0.154758107017303	-0.420757518289878	0.317496327924742	0.104418703870872	0.40528586227078	0.989613008347152
GSE65682	lt150_vs_normal_adjusted	R-HSA-5368287	Mitochondrial translation	137	90	11222	TRUE	Up	0.330562732295058	0.356569669457714	4.89008180308178e-05	Up	0.27189854816667	0.568273360296392	0.0865497277664429	0.672924611187296	0.338832085215686	7.82413088493084e-05	0.431963057592824	0.757697813728523
GSE65682	lt150_vs_normal_adjusted	R-HSA-611105	Respiratory electron transport	159	117	11222	TRUE	Up	0.11966443119295	0.206478015047273	1.02138053726881e-07	Up	0.0883188243942614	0.327518927300592	0.0899889572267296	0.799606295751397	0.1877228181648	4.08552214907524e-07	0.219323344269806	0.524030283680947
GSE65682	lt150_vs_normal_adjusted	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	96	11222	TRUE	Down	0.123954627708137	0.0255813639320558	0.0397045712358377	Down	0.383172919761985	0.228561386622201	-0.043846949295278	-0.163720257045885	0.1877228181648	0.0529394283144503	0.437911908299412	0.524030283680947
GSE65682	lt150_vs_normal_adjusted	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	27	11222	TRUE	Down	0.1407921136236	0.0412430486423791	0.0568857532970825	Down	0.323972293194618	0.985918175703047	-0.0691856305202435	-0.277728683040094	0.1877228181648	0.06501228948238	0.431963057592824	0.998310497210576
GSE65682	lt150_vs_normal_adjusted	R-HSA-76002	Platelet activation, signaling and aggregation	262	187	11222	TRUE	Down	0.0306260362592958	0.0687138290370005	1.54599401898093e-06	Down	0.10720271220798	0.304397039927107	-0.0844078364546276	-0.444247378132552	0.139501545905284	4.12265071728247e-06	0.219323344269806	0.524030283680947
GSE65682	lt150_vs_normal_adjusted	R-HSA-114608	Platelet degranulation	128	91	11222	TRUE	Down	0.0348753864763211	0.0738419825581483	1.8156295707122e-05	Down	0.109661672134903	0.225963676092279	-0.104309977162128	-0.474271781501654	0.139501545905284	3.6312591414244e-05	0.219323344269806	0.524030283680947
GSE65682	lt150_vs_normal_adjusted	R-HSA-72613	Eukaryotic Translation Initiation	124	112	11222	TRUE	Up	0.123830676922966	0.471605158628021	7.24434867488438e-15	Up	0.108517878090137	0.195929064052169	0.138371143931678	1.12384591689571	0.1877228181648	5.79547893990751e-14	0.219323344269806	0.524030283680947
GSE65682	lt150_vs_normal_adjusted	R-HSA-189451	Heme biosynthesis	14	12	11222	TRUE	Down	0.338832085215686	0.167467564358129	0.124083233496423	Down	0.515209973019599	0.998310497210576	-0.117378276050742	-0.332108882605714	0.338832085215686	0.124083233496423	0.515209973019599	0.998310497210576
GSE65682	ordinal_grade_adjusted	R-HSA-5368287	Mitochondrial translation	137	90	11222	TRUE	Up	0.340380197752574	0.357518249764693	6.77844993751575e-05	Up	0.360177086831152	0.592622585843217	0.0327912214364386	0.563270238291927	0.39619431213506	0.000135568998750315	0.41542361580627	0.790163447790957
GSE65682	ordinal_grade_adjusted	R-HSA-611105	Respiratory electron transport	159	117	11222	TRUE	Up	0.0793411802710677	0.206483054883872	1.84365329859728e-09	Up	0.0867837068446319	0.290533461876914	0.0414212897003935	0.805079470640516	0.156105206742829	1.47492263887783e-08	0.138853930951411	0.581066923753827
GSE65682	ordinal_grade_adjusted	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	96	11222	TRUE	Down	0.0975657542142682	0.0246290636608386	0.0286712788722401	Down	0.0682052895902185	0.214033848319523	-0.0289633410894374	-0.345607787719085	0.156105206742829	0.0327671758539887	0.136410579180437	0.570756928852062
GSE65682	ordinal_grade_adjusted	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	27	11222	TRUE	Down	0.0412284055481857	0.0383471671592244	0.00919816467238823	Down	0.0313501953113255	0.957009299199182	-0.0509293944295127	-0.606594319299136	0.156105206742829	0.0122642195631843	0.125400781245302	0.999317238988787
GSE65682	ordinal_grade_adjusted	R-HSA-76002	Platelet activation, signaling and aggregation	262	187	11222	TRUE	Down	0.0253720971028492	0.0670193746196769	8.81702256852365e-07	Down	0.0203454029596878	0.054062821640802	-0.0512761111636457	-0.643729984583761	0.156105206742829	3.52680902740946e-06	0.125400781245302	0.216251286563208
GSE65682	ordinal_grade_adjusted	R-HSA-114608	Platelet degranulation	128	91	11222	TRUE	Down	0.0693189116692068	0.0735431644160251	0.000240100107184349	Down	0.0554814155467213	0.0528595626411397	-0.0511981073846023	-0.57170242894128	0.156105206742829	0.000384160171494958	0.136410579180437	0.216251286563208
GSE65682	ordinal_grade_adjusted	R-HSA-72613	Eukaryotic Translation Initiation	124	112	11222	TRUE	Up	0.346670023118177	0.475932511145327	1.89820147682217e-06	Up	0.363495663830486	0.468830482572163	0.0383494534694116	0.640124348707106	0.39619431213506	5.06187060485913e-06	0.41542361580627	0.750128772115461
GSE65682	ordinal_grade_adjusted	R-HSA-189451	Heme biosynthesis	14	12	11222	TRUE	Down	0.771622714042903	0.168794733196872	0.640607330740514	Down	0.746239264034072	0.999317238988787	-0.0385729049111234	-0.17103879185373	0.771622714042903	0.640607330740514	0.746239264034072	0.999317238988787
GSE273700	Day1_group	R-HSA-5368287	Mitochondrial translation	137	113	12242	TRUE	Down	0.824490426609596	0.32771140914701	0.348140058835908	Down	0.912018838102027	0.228395989955897	-0.0149223233989607	-0.0620095034807629	0.94227477326811	0.397874352955324	0.937466290623711	0.304527986607863
GSE273700	Day1_group	R-HSA-611105	Respiratory electron transport	159	144	12242	TRUE	Up	0.711135915510666	0.227787341766841	0.167226260765958	Up	0.443744675961998	0.0621964757975083	0.0448258151342441	0.384980597687533	0.94227477326811	0.267562017225533	0.591659567949331	0.0995143612760133
GSE273700	Day1_group	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	108	12242	TRUE	Up	0.0475690605188397	0.0258783714255404	0.0061874736927307	Up	0.000963085138130109	0.00561641609457385	0.163808607801045	0.677016748372271	0.193242199707285	0.0247498947709228	0.00770468110504088	0.0149771095855303
GSE273700	Day1_group	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	47	12242	TRUE	Up	0.520177382184485	0.0799553498293553	0.246793023825648	Up	0.213728070036133	0.0533544845954857	0.0739430071838158	0.430181950762196	0.832283811495175	0.329057365100864	0.341964912057813	0.0995143612760133
GSE273700	Day1_group	R-HSA-76002	Platelet activation, signaling and aggregation	262	186	12242	TRUE	Up	0.447758744969761	0.0693686085767891	0.0925579468330151	Up	0.141482925532593	0.00375124341730022	0.0426940034487513	0.429936876238667	0.832283811495175	0.18511589366603	0.282965851065187	0.0149771095855303
GSE273700	Day1_group	R-HSA-114608	Platelet degranulation	128	87	12242	TRUE	Up	0.209200936890864	0.0718307943725224	0.0125919895499937	Up	0.0333173351409964	0.00136919064190971	0.0991894721342822	0.667126284176195	0.557869165042303	0.0335786387999833	0.088846227042657	0.0109535251352777
GSE273700	Day1_group	R-HSA-72613	Eukaryotic Translation Initiation	124	115	12242	TRUE	Down	0.945972966133917	0.524711989372554	0.717136395698297	Up	0.937466290623711	0.530888288950984	0.00164928318410882	0.0489658728055655	0.945972966133917	0.717136395698297	0.937466290623711	0.530888288950984
GSE273700	Day1_group	R-HSA-189451	Heme biosynthesis	14	12	12242	TRUE	Up	0.0483105499268213	0.163195880476776	0.00132496647054228	Up	0.00289704481457822	0.516628705623549	0.395774881451496	1.56904552239023	0.193242199707285	0.0105997317643383	0.0115881792583129	0.530888288950984
GSE273700	Day1_group_globin	R-HSA-5368287	Mitochondrial translation	137	113	12242	TRUE	Down	0.770137296020137	0.332253548026501	0.213213212153594	Down	0.888810218598159	0.241704805804129	-0.0186069176800128	-0.0800025911200139	0.80997356491902	0.24367224246125	0.915961396304556	0.322273074405505
GSE273700	Day1_group_globin	R-HSA-611105	Respiratory electron transport	159	144	12242	TRUE	Up	0.782670897451613	0.232562714099176	0.298814073020414	Up	0.454595423273495	0.0631521198010391	0.0416979613036204	0.378737671313962	0.80997356491902	0.298814073020414	0.606127231031327	0.101043391681663
GSE273700	Day1_group_globin	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	160	108	12242	TRUE	Up	0.0481295761216112	0.0283035461905937	0.00474037910996205	Up	0.000343177466869707	0.00234773864501927	0.153251998765249	0.766992727347156	0.192518304486445	0.0189615164398482	0.0014251288943011	0.00626063638671806
GSE273700	Day1_group_globin	R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	65	47	12242	TRUE	Up	0.473421813968511	0.0836266254222034	0.188469271823709	Up	0.127602958643245	0.0215386065433185	0.0811307217382037	0.537653072517259	0.757474902349617	0.24367224246125	0.204164733829193	0.043077213086637
GSE273700	Day1_group_globin	R-HSA-76002	Platelet activation, signaling and aggregation	262	186	12242	TRUE	Up	0.386318274675052	0.068479780204324	0.0561274821861571	Up	0.0656233382636329	0.00154599530697121	0.0573748799033067	0.53729842753308	0.757474902349617	0.112254964372314	0.131246676527266	0.00618398122788485
GSE273700	Day1_group_globin	R-HSA-114608	Platelet degranulation	128	87	12242	TRUE	Up	0.205628926992386	0.0746808267040502	0.0105176539908335	Up	0.0186294950512063	0.000593903008750745	0.111504393947805	0.753249705084413	0.548343805313029	0.0280470773088893	0.0496786534698834	0.00475122407000596
GSE273700	Day1_group_globin	R-HSA-72613	Eukaryotic Translation Initiation	124	115	12242	TRUE	Down	0.80997356491902	0.52170615220357	0.199708403086059	Down	0.915961396304556	0.542766120324202	-0.0252100247308165	-0.088911819960477	0.80997356491902	0.24367224246125	0.915961396304556	0.542766120324202
GSE273700	Day1_group_globin	R-HSA-189451	Heme biosynthesis	14	12	12242	TRUE	Up	0.0240557971773865	0.144030917220529	0.000383683869793447	Up	0.000356282223575276	0.29206916354638	0.344398668110692	1.85498166499187	0.192446377419092	0.00306947095834758	0.0014251288943011	0.333793329767291
