population,drug,day,state,estimate,lower,upper
routine_culture_no_recorded_lmwh_shared,vancomycin,3,death,0.142992622897991,0.106855706193874,0.178252220802341
routine_culture_no_recorded_lmwh_shared,vancomycin,3,discharge,0.0217787533502022,0.0115274155897998,0.0353819966161976
routine_culture_no_recorded_lmwh_shared,vancomycin,3,no_first_event,0.763179942933684,0.724499036131731,0.801245095986546
routine_culture_no_recorded_lmwh_shared,vancomycin,3.25,recovery,0.0758222262566166,0.0528546547617581,0.106723706404479
routine_culture_no_recorded_lmwh_shared,vancomycin,3.25,death,0.145300600389225,0.10822511679705,0.181479154964654
routine_culture_no_recorded_lmwh_shared,vancomycin,3.25,discharge,0.025688241198703,0.0146953182566413,0.0404029132634305
routine_culture_no_recorded_lmwh_shared,vancomycin,3.25,no_first_event,0.753188932155456,0.713422632245399,0.792718703109502
routine_culture_no_recorded_lmwh_shared,vancomycin,3.5,recovery,0.0836425537309555,0.0600712357064278,0.115510922346683
routine_culture_no_recorded_lmwh_shared,vancomycin,3.5,death,0.150645125786108,0.114018197370054,0.187485073382131
routine_culture_no_recorded_lmwh_shared,vancomycin,3.5,discharge,0.0290187527675808,0.0178979181684002,0.0434731524067295
routine_culture_no_recorded_lmwh_shared,vancomycin,3.5,no_first_event,0.736693567715356,0.697375371096633,0.776447008464784
routine_culture_no_recorded_lmwh_shared,vancomycin,3.75,recovery,0.089288395623375,0.0633153308463825,0.122986086986232
routine_culture_no_recorded_lmwh_shared,vancomycin,3.75,death,0.154895447401537,0.118027723940654,0.191982478876061
routine_culture_no_recorded_lmwh_shared,vancomycin,3.75,discharge,0.0313198266176258,0.0195317142211005,0.0462484369641285
routine_culture_no_recorded_lmwh_shared,vancomycin,3.75,no_first_event,0.724496330357462,0.683578414150639,0.763612147007621
routine_culture_no_recorded_lmwh_shared,vancomycin,4,recovery,0.101097568223102,0.0731003288523744,0.135981308076546
routine_culture_no_recorded_lmwh_shared,vancomycin,4,death,0.160608268236598,0.123093929335944,0.198264235009687
routine_culture_no_recorded_lmwh_shared,vancomycin,4,discharge,0.0383491515358123,0.0252366094101349,0.0547608447931414
routine_culture_no_recorded_lmwh_shared,vancomycin,4,no_first_event,0.699945012004487,0.657104183008076,0.741130602683345
routine_culture_no_recorded_lmwh_shared,vancomycin,4.25,recovery,0.110687785099351,0.0809798286699012,0.149145951374909
routine_culture_no_recorded_lmwh_shared,vancomycin,4.25,death,0.170087433303081,0.130394465916005,0.20737625748128
routine_culture_no_recorded_lmwh_shared,vancomycin,4.25,discharge,0.0439004596109167,0.0298795648126382,0.0614971068275191
routine_culture_no_recorded_lmwh_shared,vancomycin,4.25,no_first_event,0.675324321986652,0.631807079964688,0.716837267003483
routine_culture_no_recorded_lmwh_shared,vancomycin,4.5,recovery,0.121495270567969,0.0889002157581138,0.161016344623898
routine_culture_no_recorded_lmwh_shared,vancomycin,4.5,death,0.175645277553374,0.136112650304945,0.213461175081637
routine_culture_no_recorded_lmwh_shared,vancomycin,4.5,discharge,0.0465812646064523,0.0323352797632349,0.064306997670516
routine_culture_no_recorded_lmwh_shared,vancomycin,4.5,no_first_event,0.656278187272205,0.613047083688243,0.698658306987021
routine_culture_no_recorded_lmwh_shared,vancomycin,4.75,recovery,0.1309187086258,0.0982819440504374,0.170460201554161
routine_culture_no_recorded_lmwh_shared,vancomycin,4.75,death,0.182547389699243,0.141853282572662,0.221218214186608
routine_culture_no_recorded_lmwh_shared,vancomycin,4.75,discharge,0.0506662545445979,0.0356780650915271,0.0684847523088102
