population,metric,LZD,VAN,RD,lower,upper,LZD_lower,LZD_upper,VAN_lower,VAN_upper,valid_draws,diagnostic_gate
routine_culture_no_recorded_lmwh_shared,hospital__recovery,0.21215627259697,0.321322272848387,-0.109166000251417,-0.201205096349106,-0.0319204944344488,0.119825888716016,0.29955691201897,0.279286051840022,0.378577763830907,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital__death,0.265071206733098,0.288088112234512,-0.0230169055014134,-0.123263854238642,0.0824482697729858,0.164261010965207,0.373490355372158,0.238921473546754,0.332453876925342,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital__live_exit,0.252175255487746,0.186720088840785,0.0654551666469607,-0.0307775863860962,0.171693387066272,0.156216668455167,0.353413585530936,0.153361552906967,0.220783542961901,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_single__recovery,0.408845805004246,0.465529919313496,-0.0566841143092491,-0.165492985826246,0.039662764984158,0.296468847218397,0.512623831941984,0.411151151875373,0.526306745422955,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_single__death,0.202517565012872,0.244903222364974,-0.0423856573521019,-0.139941950945697,0.0568010718516392,0.109574915852637,0.30640139589723,0.197597823433046,0.288247149269192,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_single__live_exit,0.203581905570831,0.141738609229515,0.0618432963413164,-0.0253838419917875,0.157770877522134,0.118859416116677,0.296041527183976,0.115132869335251,0.171711658975603,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital72__recovery,0.21215627259697,0.319999838631728,-0.107843566034758,-0.198832610063447,-0.03037916666784,0.119825888716016,0.29955691201897,0.277778129079118,0.377372058894377,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital72__death,0.265071206733098,0.288088112234512,-0.0230169055014134,-0.123263854238642,0.0824482697729858,0.164261010965207,0.373490355372158,0.238921473546754,0.332453876925342,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital72__live_exit,0.252175255487746,0.186945064018045,0.0652301914697014,-0.0310283240259412,0.171692524065836,0.156216668455167,0.353413585530936,0.153485905154469,0.22107095313748,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_timed__recovery,0.21215627259697,0.314960703207912,-0.102804430610942,-0.19377961911925,-0.0269911496644786,0.119825888716016,0.29955691201897,0.272591656191653,0.372073531832225,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_timed__death,0.265071206733098,0.289768973216659,-0.0246977664835613,-0.124766187081493,0.0805986177737649,0.164261010965207,0.373490355372158,0.241160569708118,0.334207810797802,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_timed__live_exit,0.252175255487746,0.188269125932728,0.0639061295550184,-0.0341006034833494,0.169809695257629,0.156216668455167,0.353413585530936,0.154601492960463,0.223301181966682,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_dated__recovery,0.21215627259697,0.314960703207912,-0.102804430610942,-0.19377961911925,-0.0269911496644786,0.119825888716016,0.29955691201897,0.272591656191653,0.372073531832225,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_dated__death,0.265071206733098,0.289768973216659,-0.0246977664835613,-0.124766187081493,0.0805986177737649,0.164261010965207,0.373490355372158,0.241160569708118,0.334207810797802,2000,TRUE
routine_culture_no_recorded_lmwh_shared,hospital_dated__live_exit,0.252175255487746,0.188269125932728,0.0639061295550184,-0.0341006034833494,0.169809695257629,0.156216668455167,0.353413585530936,0.154601492960463,0.223301181966682,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical__recovery,0.0865498695952329,0.148085904929202,-0.0615360353339688,-0.125397020472169,-0.00756536129060154,0.0268000777119776,0.148809706566309,0.120023511825767,0.186126273749605,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical__death,0.249481652704755,0.221817012402991,0.0276646403017643,-0.0689839667496446,0.127844056516124,0.150808774064935,0.353101837509128,0.177873889253432,0.26513186237486,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical__live_exit,0.540251686635792,0.583313363821607,-0.0430616771858144,-0.140568530783812,0.0634337932294185,0.432255443599107,0.653186563827831,0.52928547570559,0.636200389918073,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_single__recovery,0.241881253092956,0.289215389355297,-0.0473341362623413,-0.144517203685578,0.0441814339153133,0.143998960732097,0.330980295396873,0.244776782805465,0.338497543092092,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_single__death,0.202517565012872,0.191276757516927,0.0112408074959444,-0.0795908008383552,0.110078602725836,0.109574915852637,0.30640139589723,0.149863508019647,0.232450722780251,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_single__live_exit,0.475820962389256,0.492052691571765,-0.0162317291825091,-0.120099650337646,0.0905440012635394,0.364418189633108,0.585280271479633,0.437996151901498,0.54230959195439,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_timed__recovery,0.0865498695952329,0.141413060834521,-0.0548631912392882,-0.117983082595235,-0.000762969181739813,0.0268000777119776,0.148809706566309,0.11240558372958,0.179515262967796,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_timed__death,0.249481652704755,0.223442166654313,0.0260394860504427,-0.0706125111096777,0.12628113369639,0.150808774064935,0.353101837509128,0.179160648998125,0.265919021132767,2000,TRUE
routine_culture_no_recorded_lmwh_shared,physical_timed__live_exit,0.540251686635792,0.585229382098581,-0.0449776954627884,-0.142228287628228,0.0610578315072296,0.432255443599107,0.653186563827831,0.5308359276456,0.637752803396032,2000,TRUE
