arm,metric,n,unweighted_mean,unweighted_q25,unweighted_median,unweighted_q75,weighted_mean,weighted_q25,weighted_median,weighted_q75
VAN,hospital_tests,2492,14.0100321027287,6,12,19,15.0695189592149,6,13,21
VAN,hospital_days,2492,8.79088639200999,4.77881944444445,8.86666666666667,14,9.03730075285222,4.80208333333333,10.0305555555556,14
VAN,hospital_tests_per_day,2492,1.64806175412885,1.05312097829895,1.35714285714286,1.92857142857143,1.78513223425703,1.10138522988017,1.43402489626556,2.07142857142857
VAN,at_least_two_postinitiation_tests,2492,0.948234349919743,,,,0.936249129569818,,,
LZD,hospital_tests,65,14.5692307692308,7,13,20,14.4881535523296,6,13,20
LZD,hospital_days,65,8.73824786324786,3.62638888888889,10.3118055555556,14,8.67520188166616,3.62638888888889,10.3118055555556,14
LZD,hospital_tests_per_day,65,2.00177604754802,1.04727272727273,1.48985276561878,2.5,2.00670359990381,1.04727272727273,1.48985276561878,2.5
LZD,at_least_two_postinitiation_tests,65,0.938461538461539,,,,0.936446757583067,,,
