arm,metric,quantile,value,n,ESS
VAN,propensity_score,0,0.000597175358083916,2492,997.941963618076
VAN,propensity_score,0.01,0.00168714271399783,2492,997.941963618076
VAN,propensity_score,0.05,0.00276372034759148,2492,997.941963618076
VAN,propensity_score,0.25,0.00878721474457623,2492,997.941963618076
VAN,propensity_score,0.5,0.0180923084834056,2492,997.941963618076
VAN,propensity_score,0.75,0.0359002737414476,2492,997.941963618076
VAN,propensity_score,0.95,0.0950353791492151,2492,997.941963618076
VAN,propensity_score,0.99,0.188585730400649,2492,997.941963618076
VAN,propensity_score,1,0.436894929499763,2492,997.941963618076
VAN,overlap_weight,0,0.000597175358083916,2492,997.941963618076
VAN,overlap_weight,0.01,0.00168714271399783,2492,997.941963618076
VAN,overlap_weight,0.05,0.00276372034759148,2492,997.941963618076
VAN,overlap_weight,0.25,0.00878721474457623,2492,997.941963618076
VAN,overlap_weight,0.5,0.0180923084834056,2492,997.941963618076
VAN,overlap_weight,0.75,0.0359002737414476,2492,997.941963618076
VAN,overlap_weight,0.95,0.0950353791492151,2492,997.941963618076
VAN,overlap_weight,0.99,0.188585730400649,2492,997.941963618076
VAN,overlap_weight,1,0.436894929499763,2492,997.941963618076
LZD,propensity_score,0,0.00636786609557462,65,64.5560145484518
LZD,propensity_score,0.01,0.00748272352268331,65,64.5560145484518
LZD,propensity_score,0.05,0.0107985261941922,65,64.5560145484518
LZD,propensity_score,0.25,0.0273084126830375,65,64.5560145484518
LZD,propensity_score,0.5,0.0582894937645203,65,64.5560145484518
LZD,propensity_score,0.75,0.111309475005037,65,64.5560145484518
LZD,propensity_score,0.95,0.263803249741095,65,64.5560145484518
LZD,propensity_score,0.99,0.324402586379237,65,64.5560145484518
LZD,propensity_score,1,0.367266654887756,65,64.5560145484518
LZD,overlap_weight,0,0.632733345112244,65,64.5560145484518
LZD,overlap_weight,0.01,0.675597413620763,65,64.5560145484518
LZD,overlap_weight,0.05,0.736196750258905,65,64.5560145484518
LZD,overlap_weight,0.25,0.888690524994963,65,64.5560145484518
LZD,overlap_weight,0.5,0.94171050623548,65,64.5560145484518
LZD,overlap_weight,0.75,0.972691587316963,65,64.5560145484518
LZD,overlap_weight,0.95,0.989201473805808,65,64.5560145484518
LZD,overlap_weight,0.99,0.992517276477317,65,64.5560145484518
LZD,overlap_weight,1,0.993632133904425,65,64.5560145484518
