arm,metric,x,density
LZD,propensity_score,0,4.21415885134668
LZD,propensity_score,0.00195694716242661,4.5187515045018
LZD,propensity_score,0.00391389432485323,4.82285379564988
LZD,propensity_score,0.00587084148727984,5.12434769872321
LZD,propensity_score,0.00782778864970646,5.42111100288044
LZD,propensity_score,0.00978473581213307,5.71103845127613
LZD,propensity_score,0.0117416829745597,5.98962200577282
LZD,propensity_score,0.0136986301369863,6.25582142951126
LZD,propensity_score,0.0156555772994129,6.50829723740472
LZD,propensity_score,0.0176125244618395,6.74549745541852
LZD,propensity_score,0.0195694716242661,6.96603225775932
LZD,propensity_score,0.0215264187866928,7.16868327401924
LZD,propensity_score,0.0234833659491194,7.34883013845762
LZD,propensity_score,0.025440313111546,7.50767349075703
LZD,propensity_score,0.0273972602739726,7.64603685702729
LZD,propensity_score,0.0293542074363992,7.7636820294406
LZD,propensity_score,0.0313111545988258,7.86053197591119
LZD,propensity_score,0.0332681017612524,7.9366618632405
LZD,propensity_score,0.0352250489236791,7.98924602015432
LZD,propensity_score,0.0371819960861057,8.0201744141154
LZD,propensity_score,0.0391389432485323,8.03186319531217
LZD,propensity_score,0.0410958904109589,8.02495123916467
LZD,propensity_score,0.0430528375733855,8.00013485327881
LZD,propensity_score,0.0450097847358121,7.95815860301974
LZD,propensity_score,0.0469667318982387,7.89787600525212
LZD,propensity_score,0.0489236790606654,7.82068926952202
LZD,propensity_score,0.050880626223092,7.72933739763448
LZD,propensity_score,0.0528375733855186,7.6246852595347
LZD,propensity_score,0.0547945205479452,7.50760892118746
LZD,propensity_score,0.0567514677103718,7.37899556197217
LZD,propensity_score,0.0587084148727984,7.23879866731588
LZD,propensity_score,0.0606653620352251,7.08798615673635
LZD,propensity_score,0.0626223091976517,6.92899935327395
LZD,propensity_score,0.0645792563600783,6.7628050797419
LZD,propensity_score,0.0665362035225049,6.59038703849245
LZD,propensity_score,0.0684931506849315,6.41274490533887
LZD,propensity_score,0.0704500978473581,6.23068509094711
LZD,propensity_score,0.0724070450097847,6.04541987242977
LZD,propensity_score,0.0743639921722114,5.8586701798491
LZD,propensity_score,0.076320939334638,5.67145683141684
LZD,propensity_score,0.0782778864970646,5.48478233098956
LZD,propensity_score,0.0802348336594912,5.29962428396159
LZD,propensity_score,0.0821917808219178,5.11711272776874
LZD,propensity_score,0.0841487279843444,4.93898707595641
LZD,propensity_score,0.086105675146771,4.76552401437394
LZD,propensity_score,0.0880626223091977,4.59741301849579
LZD,propensity_score,0.0900195694716243,4.43526448342254
LZD,propensity_score,0.0919765166340509,4.27960580596838
LZD,propensity_score,0.0939334637964775,4.13105589690593
LZD,propensity_score,0.0958904109589041,3.99145473315552
LZD,propensity_score,0.0978473581213307,3.85940819538133
LZD,propensity_score,0.0998043052837573,3.73495566983102
LZD,propensity_score,0.101761252446184,3.61805263773767
LZD,propensity_score,0.103718199608611,3.50857493832688
LZD,propensity_score,0.105675146771037,3.40632316935786
LZD,propensity_score,0.107632093933464,3.31256356596139
LZD,propensity_score,0.10958904109589,3.22515919272229
LZD,propensity_score,0.111545988258317,3.14367050933096
LZD,propensity_score,0.113502935420744,3.06764276517466
LZD,propensity_score,0.11545988258317,2.99660271453613
LZD,propensity_score,0.117416829745597,2.93006546456593
LZD,propensity_score,0.119373776908024,2.86824600225062
LZD,propensity_score,0.12133072407045,2.80977278315539
LZD,propensity_score,0.123287671232877,2.75409832045799
LZD,propensity_score,0.125244618395303,2.70080590721071
LZD,propensity_score,0.12720156555773,2.64950557860824
LZD,propensity_score,0.129158512720157,2.59983576048069
LZD,propensity_score,0.131115459882583,2.55162848429771
LZD,propensity_score,0.13307240704501,2.50432656658608
LZD,propensity_score,0.135029354207436,2.45762675254987
LZD,propensity_score,0.136986301369863,2.4113125367076
LZD,propensity_score,0.13894324853229,2.36518646297773
LZD,propensity_score,0.140900195694716,2.31906767014589
LZD,propensity_score,0.142857142857143,2.27272441000461
LZD,propensity_score,0.144814090019569,2.22595645521338
LZD,propensity_score,0.146771037181996,2.17863518041556
LZD,propensity_score,0.148727984344423,2.13061957797207
LZD,propensity_score,0.150684931506849,2.08177155588608
LZD,propensity_score,0.152641878669276,2.03195613786213
LZD,propensity_score,0.154598825831703,1.98086425863398
LZD,propensity_score,0.156555772994129,1.92836082375178
LZD,propensity_score,0.158512720156556,1.87446389153974
LZD,propensity_score,0.160469667318982,1.81909235629903
LZD,propensity_score,0.162426614481409,1.76218634024178
LZD,propensity_score,0.164383561643836,1.70371018979103
LZD,propensity_score,0.166340508806262,1.64348504710311
LZD,propensity_score,0.168297455968689,1.5815557930365
LZD,propensity_score,0.170254403131115,1.5182395216249
LZD,propensity_score,0.172211350293542,1.45368782366716
LZD,propensity_score,0.174168297455969,1.38809114302933
LZD,propensity_score,0.176125244618395,1.32167805822378
LZD,propensity_score,0.178082191780822,1.25470637235541
LZD,propensity_score,0.180039138943249,1.18762773214949
LZD,propensity_score,0.181996086105675,1.12088653246373
LZD,propensity_score,0.183953033268102,1.05486184436014
LZD,propensity_score,0.185909980430528,0.98994236251932
LZD,propensity_score,0.187866927592955,0.926521236366414
LZD,propensity_score,0.189823874755382,0.865139400269711
LZD,propensity_score,0.191780821917808,0.806610891831996
LZD,propensity_score,0.193737769080235,0.750919066682251
LZD,propensity_score,0.195694716242661,0.698363449438222
LZD,propensity_score,0.197651663405088,0.649206956999942
LZD,propensity_score,0.199608610567515,0.60367296264014
LZD,propensity_score,0.201565557729941,0.56208391209242
LZD,propensity_score,0.203522504892368,0.525271319057767
LZD,propensity_score,0.205479452054795,0.492466978676896
LZD,propensity_score,0.207436399217221,0.463649569224867
LZD,propensity_score,0.209393346379648,0.438755892459557
LZD,propensity_score,0.211350293542074,0.4176834613864
LZD,propensity_score,0.213307240704501,0.400327504733186
LZD,propensity_score,0.215264187866928,0.387210953825782
LZD,propensity_score,0.217221135029354,0.377247187507361
LZD,propensity_score,0.219178082191781,0.370198211911274
LZD,propensity_score,0.221135029354207,0.365819408104021
LZD,propensity_score,0.223091976516634,0.363863515007455
LZD,propensity_score,0.225048923679061,0.364084578316745
LZD,propensity_score,0.227005870841487,0.366603593138586
LZD,propensity_score,0.228962818003914,0.370735309738989
LZD,propensity_score,0.230919765166341,0.376261711850311
LZD,propensity_score,0.232876712328767,0.3830145525245
LZD,propensity_score,0.234833659491194,0.390846221033607
LZD,propensity_score,0.23679060665362,0.399630102204005
LZD,propensity_score,0.238747553816047,0.409408959291597
LZD,propensity_score,0.240704500978474,0.419951891598027
LZD,propensity_score,0.2426614481409,0.431176378474048
LZD,propensity_score,0.244618395303327,0.443044548989187
LZD,propensity_score,0.246575342465753,0.455526113463723
LZD,propensity_score,0.24853228962818,0.468595735376578
LZD,propensity_score,0.250489236790607,0.482321129490144
LZD,propensity_score,0.252446183953033,0.49659701387622
LZD,propensity_score,0.25440313111546,0.511339266679177
LZD,propensity_score,0.256360078277887,0.526487634122704
LZD,propensity_score,0.258317025440313,0.541966794212172
LZD,propensity_score,0.26027397260274,0.557685068221033
LZD,propensity_score,0.262230919765166,0.573520375567516
LZD,propensity_score,0.264187866927593,0.589262760188686
LZD,propensity_score,0.26614481409002,0.604733188941748
LZD,propensity_score,0.268101761252446,0.619747734332831
LZD,propensity_score,0.270058708414873,0.634110141660563
LZD,propensity_score,0.272015655577299,0.647613891625172
LZD,propensity_score,0.273972602739726,0.659870379455651
LZD,propensity_score,0.275929549902153,0.670564495794307
LZD,propensity_score,0.277886497064579,0.679618103648497
LZD,propensity_score,0.279843444227006,0.686832758497634
LZD,propensity_score,0.281800391389432,0.692024704456118
LZD,propensity_score,0.283757338551859,0.695027865061571
LZD,propensity_score,0.285714285714286,0.695451673915642
LZD,propensity_score,0.287671232876712,0.693035227703163
LZD,propensity_score,0.289628180039139,0.688070542295993
LZD,propensity_score,0.291585127201566,0.680543956799271
LZD,propensity_score,0.293542074363992,0.670476336900196
LZD,propensity_score,0.295499021526419,0.657923446720614
LZD,propensity_score,0.297455968688845,0.642816485239093
LZD,propensity_score,0.299412915851272,0.625148951127526
LZD,propensity_score,0.301369863013699,0.605529125816617
LZD,propensity_score,0.303326810176125,0.584185763021801
LZD,propensity_score,0.305283757338552,0.561371046694628
LZD,propensity_score,0.307240704500978,0.537357702093272
LZD,propensity_score,0.309197651663405,0.512413199570291
LZD,propensity_score,0.311154598825832,0.486890408211008
LZD,propensity_score,0.313111545988258,0.461277903167331
LZD,propensity_score,0.315068493150685,0.435884013018232
LZD,propensity_score,0.317025440313112,0.411007887746318
LZD,propensity_score,0.318982387475538,0.386936143922445
LZD,propensity_score,0.320939334637965,0.363969486919889
LZD,propensity_score,0.322896281800391,0.342708995088227
LZD,propensity_score,0.324853228962818,0.32310135493291
LZD,propensity_score,0.326810176125245,0.305301463368125
LZD,propensity_score,0.328767123287671,0.289431231601219
LZD,propensity_score,0.330724070450098,0.275578751504432
LZD,propensity_score,0.332681017612524,0.263797522340023
LZD,propensity_score,0.334637964774951,0.254586936046398
LZD,propensity_score,0.336594911937378,0.247396448597988
LZD,propensity_score,0.338551859099804,0.242122253480083
LZD,propensity_score,0.340508806262231,0.23864087755197
LZD,propensity_score,0.342465753424658,0.236802374685271
LZD,propensity_score,0.344422700587084,0.236432523658113
LZD,propensity_score,0.346379647749511,0.237530372271493
LZD,propensity_score,0.348336594911937,0.239570423968874
LZD,propensity_score,0.350293542074364,0.242280410172105
LZD,propensity_score,0.352250489236791,0.245422514362767
